question,predicted_answer,trace_id,confidence,inference_time
What is 56 plus 44?,100.0,0a2b6f0c-2bf9-4a2e-ad05-cef2f8e04d1c,1.0,0.01667308807373047
Calculate 175 minus 89,264.0,53099b90-3108-4763-9b9a-a90d9ed0eb77,1.0,0.01485586166381836
What is the product of 14 and 7?,98.0,98c0d0db-4e1c-4159-93b9-489caac45def,0.85,0.016588687896728516
Divide 225 by 15,15.0,327beab4-a6d6-4ef0-b0e5-b5ac6c60e727,0.95,0.014730215072631836
What is 18 times 6?,24.0,c46a6856-732d-4962-bd1d-7a017ef6dd97,1.0,0.016599416732788086
Find the sum of 234 and 567,801.0,80f35d7c-f64d-4e3a-b65d-8a3f37b4b6da,1.0,0.01912713050842285
Subtract 145 from 300,-155.0,46b9cd05-0801-49e6-b59d-e49df1df83b7,0.85,0.011744022369384766
Multiply 22 by 11,242.0,802c4318-0594-4d92-b2f1-035f20358036,0.85,0.011065244674682617
What is 800 divided by 32?,25.0,d7bc38a4-bf20-4a7a-9636-5aa25d96c924,0.85,0.011591196060180664
Add 456 and 789,1245.0,c468c862-19b2-4bbd-963d-9356977c4917,1.0,0.01415872573852539
Solve for x: x + 12 = 30,18.0,266964ba-3e61-4484-a1a4-4bfc597e91fd,0.8,0.14312267303466797
Find x when 7x = 56,56.0,f7dd1fc1-dcd1-4d94-a148-b24f85d587f7,0.9,0.013793468475341797
Solve x - 15 = 20,35.0,ae24bd71-029e-4216-9cb4-d372ebb48f66,0.9500000000000001,0.026630163192749023
What is x if 6x = 48?,48.0,c4344877-acb0-4396-9bbf-ba29eb053d79,0.9,0.0262603759765625
Solve for x: x + 18 = 45,27.0,8b56b7b4-0564-42b8-b028-4ae38755cd0c,0.8,0.026432275772094727
Find x when 9x = 72,72.0,9d442841-1cde-4c9b-9c6d-402c714f8ef9,0.9,0.011049032211303711
Solve x - 20 = 15,35.0,49bd9c7a-35ae-4e3c-9aba-d85be099a276,0.9500000000000001,0.016816139221191406
What is x if 12x = 156?,156.0,fa220624-4298-4304-8ba8-7ea77beddc19,0.9,0.014103412628173828
Solve for x: x + 22 = 60,38.0,5c23c92f-0908-46d2-99a4-a7dc17395325,0.8,0.02124166488647461
Find x when 14x = 210,210.0,85e814bc-712f-485f-bc2d-8750c6e9e95d,0.9,0.009567737579345703
What is the area of a rectangle with length 14 and width 8?,112.0,707319bc-ae4e-46fb-b02d-a5bd16476019,0.75,0.01239013671875
Find the perimeter of a square with side 13,52.0,ca56bd3e-eaea-4ef2-b411-89ddecc0cec7,0.75,0.01506805419921875
What is the area of a circle with radius 3?,28.274333882308138,2773d978-fc3c-476f-8e2e-4a5b8ef1d0ad,0.75,0.01412820816040039
Calculate the area of a triangle with base 15 and height 10,75.0,e8ab16aa-7c18-4fba-8f6a-0769f65d5957,0.75,0.011829137802124023
What is the perimeter of a rectangle with length 18 and width 9?,54.0,4aac2b28-fc63-42b7-847b-b7e63d17dd90,0.75,0.013811588287353516
Find the area of a square with side 11,,bda55485-7c03-40f6-a27b-9df98961bb39,0.0,0.012105941772460938
What is the volume of a cube with side 3?,27.0,8016756f-3aa3-4cbd-aab6-7d58f4b02ec0,0.75,0.016219377517700195
Calculate the area of a circle with radius 16,804.247719318987,c4cf8180-f482-4078-8d66-863ba92720a6,0.75,0.02559518814086914
What is the area of a triangle with base 25 and height 8?,100.0,aeb678d3-6716-491e-9064-69ff7a37c1c8,0.75,0.014208078384399414
Find the perimeter of a square with side 24,96.0,d28cacc6-5106-4c01-9636-a86c8da9d3fa,0.75,0.016873836517333984
Is false AND true equal to false?,False,b26bc7d4-1f7d-4579-a90c-69e79b3138d6,0.75,0.012704849243164062
What is NOT false?,True,df91e4ea-217b-4ae7-990a-9cd2ccf328f5,0.75,0.009057998657226562
Is true OR true equal to true?,True,7a1a3f0f-847e-4129-84e1-17bffbf76e79,0.75,0.012507915496826172
What is false AND true?,False,91df726f-410a-43af-9643-f5e2235bccf8,0.75,0.013122320175170898
Is NOT (false AND false) equal to true?,False,4527a363-a66e-449b-a520-7e598849d774,0.75,0.015005350112915039
What is true OR false?,True,888fa0af-f4db-4118-b656-5653b8b6305e,0.75,0.01874232292175293
Is (false OR false) AND false equal to false?,True,44b85341-1f33-4307-8e5e-177732f40f71,0.75,0.018999576568603516
What is NOT (true OR false)?,True,c2bde5d1-6aec-434e-bcf9-4069ccf13fe1,0.75,0.01330423355102539
Is true AND true equal to true?,True,7a73a1ac-bcbb-42fd-8066-ef5d69ec5730,0.75,0.011658430099487305
What is (true AND false) OR false?,False,373a8158-9974-4d88-ba38-159f6c64a071,0.75,0.014193296432495117
Rachel has 85 pencils and buys 47 more. How many pencils does she have in total?,132.0,1ae75024-624c-4653-bace-ebb1598dc1a8,0.9,0.013753652572631836
A warehouse had 250 crates and shipped 108. How many crates are left?,142.0,0191546b-7ef9-46fb-9a6a-1d64855d9eaa,0.75,0.011450052261352539
