question,type,answer
What is 15 plus 27?,arithmetic,42
Calculate 89 minus 34,arithmetic,55
What is the product of 12 and 8?,arithmetic,96
Divide 144 by 12,arithmetic,12
What is 25 times 4?,arithmetic,100
Find the sum of 123 and 456,arithmetic,579
Subtract 78 from 200,arithmetic,122
Multiply 15 by 9,arithmetic,135
What is 500 divided by 25?,arithmetic,20
Add 67 and 89,arithmetic,156
What is 234 plus 567?,arithmetic,801
Calculate 1000 minus 432,arithmetic,568
Find the product of 25 and 16,arithmetic,400
Divide 360 by 15,arithmetic,24
What is 33 times 11?,arithmetic,363
Sum 456 and 789,arithmetic,1245
Subtract 123 from 456,arithmetic,333
Multiply 24 by 5,arithmetic,120
What is 625 divided by 25?,arithmetic,25
Add 345 and 678,arithmetic,1023
Calculate 45 plus 55,arithmetic,100
What is 88 minus 44?,arithmetic,44
Find the product of 7 and 13,arithmetic,91
Divide 256 by 16,arithmetic,16
What is 19 times 8?,arithmetic,152
Sum 111 and 222,arithmetic,333
Subtract 99 from 150,arithmetic,51
Multiply 30 by 12,arithmetic,360
What is 900 divided by 30?,arithmetic,30
Add 234 and 876,arithmetic,1110
What is 77 plus 23?,arithmetic,100
Calculate 500 minus 275,arithmetic,225
Find the product of 18 and 6,arithmetic,108
Divide 484 by 22,arithmetic,22
What is 45 times 3?,arithmetic,135
Sum 567 and 234,arithmetic,801
Subtract 444 from 888,arithmetic,444
Multiply 50 by 8,arithmetic,400
What is 1200 divided by 40?,arithmetic,30
Add 789 and 321,arithmetic,1110
Calculate 66 plus 34,arithmetic,100
What is 150 minus 75?,arithmetic,75
Find the product of 9 and 14,arithmetic,126
Divide 729 by 27,arithmetic,27
What is 22 times 13?,arithmetic,286
Sum 890 and 110,arithmetic,1000
Subtract 256 from 512,arithmetic,256
Multiply 60 by 7,arithmetic,420
What is 1600 divided by 50?,arithmetic,32
Add 432 and 568,arithmetic,1000
Calculate 125 plus 375,arithmetic,500
What is 300 minus 145?,arithmetic,155
Find the product of 11 and 15,arithmetic,165
Divide 625 by 25,arithmetic,25
What is 35 times 4?,arithmetic,140
Sum 678 and 322,arithmetic,1000
Subtract 167 from 334,arithmetic,167
Multiply 40 by 11,arithmetic,440
What is 2000 divided by 80?,arithmetic,25
Add 555 and 445,arithmetic,1000
Calculate 88 plus 112,arithmetic,200
What is 400 minus 189?,arithmetic,211
Find the product of 17 and 5,arithmetic,85
Divide 961 by 31,arithmetic,31
What is 28 times 9?,arithmetic,252
Sum 246 and 754,arithmetic,1000
Subtract 333 from 999,arithmetic,666
Multiply 75 by 6,arithmetic,450
What is 2400 divided by 60?,arithmetic,40
Add 654 and 346,arithmetic,1000
Solve for x: x + 5 = 12,algebra,7
Find x when 2x = 18,algebra,9
Solve x - 7 = 15,algebra,22
What is x if 3x = 27?,algebra,9
Solve for x: x + 10 = 25,algebra,15
Find x when 5x = 45,algebra,9
Solve x - 12 = 8,algebra,20
What is x if 4x = 32?,algebra,8
Solve for x: x + 8 = 20,algebra,12
Find x when 6x = 54,algebra,9
Solve x - 5 = 10,algebra,15
What is x if 7x = 49?,algebra,7
Solve for x: x + 15 = 30,algebra,15
Find x when 8x = 64,algebra,8
Solve x - 9 = 16,algebra,25
What is x if 9x = 81?,algebra,9
Solve for x: x + 20 = 50,algebra,30
Find x when 10x = 100,algebra,10
Solve x - 14 = 6,algebra,20
What is x if 11x = 121?,algebra,11
Solve for x: x + 25 = 75,algebra,50
Find x when 12x = 144,algebra,12
Solve x - 18 = 12,algebra,30
What is x if 13x = 169?,algebra,13
Solve for x: x + 30 = 80,algebra,50
Find x when 15x = 180,algebra,12
Solve x - 22 = 8,algebra,30
What is x if 14x = 196?,algebra,14
Solve for x: x + 35 = 100,algebra,65
Find x when 16x = 256,algebra,16
Solve x - 25 = 15,algebra,40
What is x if 17x = 289?,algebra,17
Solve for x: x + 40 = 90,algebra,50
Find x when 18x = 324,algebra,18
Solve x - 30 = 20,algebra,50
What is x if 19x = 361?,algebra,19
Solve for x: x + 45 = 120,algebra,75
Find x when 20x = 400,algebra,20
Solve x - 35 = 25,algebra,60
What is x if 21x = 441?,algebra,21
Solve for x: x + 50 = 150,algebra,100
Find x when 22x = 484,algebra,22
Solve x - 40 = 30,algebra,70
What is x if 23x = 529?,algebra,23
Solve for x: x + 55 = 155,algebra,100
Find x when 24x = 576,algebra,24
Solve x - 45 = 35,algebra,80
What is x if 25x = 625?,algebra,25
Solve for x: x + 60 = 180,algebra,120
Find x when 26x = 676,algebra,26
Solve x - 50 = 40,algebra,90
What is x if 27x = 729?,algebra,27
Solve for x: x + 65 = 200,algebra,135
Find x when 28x = 784,algebra,28
Solve x - 55 = 45,algebra,100
What is x if 29x = 841?,algebra,29
Solve for x: x + 70 = 220,algebra,150
Find x when 30x = 900,algebra,30
Solve x - 60 = 50,algebra,110
What is x if 31x = 961?,algebra,31
Solve for x: x + 75 = 250,algebra,175
Find x when 32x = 1024,algebra,32
Solve x - 65 = 55,algebra,120
What is x if 33x = 1089?,algebra,33
Solve for x: x + 80 = 280,algebra,200
Find x when 35x = 1225,algebra,35
What is the area of a rectangle with length 8 and width 5?,geometry,40
Find the perimeter of a square with side 6,geometry,24
What is the area of a circle with radius 7?,geometry,153.938
Calculate the area of a triangle with base 10 and height 8,geometry,40
What is the perimeter of a rectangle with length 12 and width 7?,geometry,38
Find the area of a square with side 9,geometry,81
What is the volume of a cube with side 4?,geometry,64
Calculate the area of a circle with radius 5,geometry,78.54
What is the area of a triangle with base 6 and height 4?,geometry,12
Find the perimeter of a square with side 10,geometry,40
What is the area of a rectangle with length 15 and width 4?,geometry,60
Calculate the volume of a cube with side 5,geometry,125
What is the area of a circle with radius 10?,geometry,314.159
Find the area of a triangle with base 12 and height 5,geometry,30
What is the perimeter of a rectangle with length 20 and width 10?,geometry,60
Calculate the area of a square with side 12,geometry,144
What is the volume of a cube with side 6?,geometry,216
Find the area of a circle with radius 8,geometry,201.062
What is the area of a triangle with base 14 and height 7?,geometry,49
Calculate the perimeter of a square with side 15,geometry,60
What is the area of a rectangle with length 18 and width 6?,geometry,108
Find the volume of a cube with side 7,geometry,343
What is the area of a circle with radius 9?,geometry,254.469
Calculate the area of a triangle with base 16 and height 6,geometry,48
What is the perimeter of a rectangle with length 25 and width 8?,geometry,66
Find the area of a square with side 14,geometry,196
What is the volume of a cube with side 8?,geometry,512
Calculate the area of a circle with radius 6,geometry,113.097
What is the area of a triangle with base 18 and height 8?,geometry,72
Find the perimeter of a square with side 18,geometry,72
What is the area of a rectangle with length 22 and width 5?,geometry,110
Calculate the volume of a cube with side 9,geometry,729
What is the area of a circle with radius 4?,geometry,50.265
Find the area of a triangle with base 20 and height 9,geometry,90
What is the perimeter of a rectangle with length 30 and width 12?,geometry,84
Calculate the area of a square with side 16,geometry,256
What is the volume of a cube with side 10?,geometry,1000
Find the area of a circle with radius 11,geometry,380.133
What is the area of a triangle with base 22 and height 10?,geometry,110
Calculate the perimeter of a square with side 20,geometry,80
What is the area of a rectangle with length 24 and width 9?,geometry,216
Find the volume of a cube with side 11,geometry,1331
What is the area of a circle with radius 12?,geometry,452.389
Calculate the area of a triangle with base 24 and height 11,geometry,132
What is the perimeter of a rectangle with length 28 and width 14?,geometry,84
Find the area of a square with side 17,geometry,289
What is the volume of a cube with side 12?,geometry,1728
Calculate the area of a circle with radius 13,geometry,530.929
What is the area of a triangle with base 26 and height 12?,geometry,156
Find the perimeter of a square with side 22,geometry,88
What is the area of a rectangle with length 30 and width 10?,geometry,300
Calculate the volume of a cube with side 13,geometry,2197
What is the area of a circle with radius 14?,geometry,615.752
Find the area of a triangle with base 28 and height 13,geometry,182
